,Name,Price,Kilometer,Process,Dealer,Address
117,2011 Skoda Superb 125 TDI Elegance,"$12,990","121,916 km",Automatic,USED Dealer ad,"Capalaba, QLD"
118,2019 Mazda 6 Touring (5YR),"$28,990","112,210 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
119,2018 Audi A3 1.4 Tfsi COD,"$32,990","120,265 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
120,2007 Ford Ranger XL (4X4),"$16,990","319,761 km",Manual,USED Dealer ad,"Underwood, QLD"
121,2009 Holden Commodore SS-V,"$24,990","152,228 km",Automatic,USED Dealer ad,"Morayfield, QLD"
122,2012 Kia RIO SLI,"$12,990","158,480 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
123,2013 Mitsubishi Outlander ES (4X4),"$15,990","152,843 km",Automatic,USED Dealer ad,"Noosaville, QLD"
124,2018 Mercedes-Benz C300 ,"$79,900","31,643 km",Automatic,USED Dealer ad,"Southport, QLD"
125,2016 Ford Focus Titanium,"$22,660","74,586 km",Automatic,USED Dealer ad,"Eagle Farm, QLD"
126,2015 Holden Barina CD 5DR,"$12,990","59,162 km",Manual,USED Dealer ad,"Mount Isa, QLD"
127,2014 Mercedes-Benz Vito 116CDI LWB,"$22,999","204,979 km",Automatic,USED Dealer ad,"Coopers Plains, QLD"
128,2008 Audi Q7 4.2 TDI Quattro,"$24,990","153,859 km",Automatic,USED Dealer ad,"Albion, QLD"
129,2010 Mazda 6 Classic,"$13,990","169,000 km",Automatic,USED Dealer ad,"Clontarf, QLD"
130,2014 Ford Focus Trend,"$12,990","134,027 km",Manual,USED Dealer ad,"Slacks Creek, QLD"
131,2016 Hyundai Imax ,"$21,843","201,458 km",Automatic,USED Dealer ad,"Hendra, QLD"
132,2017 Haval H6 Premium,"$26,820","55,359 km",Automatic,USED Dealer ad,"Bundaberg West, QLD"
133,2011 Nissan Dualis TI (4X2),"$15,990","106,318 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
134,2018 Mazda BT-50 XT (4X2),"$21,990","329,771 km",Automatic,USED Dealer ad,"Aspley, QLD"
135,2010 Mazda 6 Classic,"$13,990","169,000 km",Automatic,USED Dealer ad,"Clontarf, QLD"
136,2019 Volkswagen Polo GTI,"$37,886","35,257 km",Automatic,USED Dealer ad,"Ipswich, QLD"
137,2010 Nissan Navara ST-X (4X4),"$18,990","263,421 km",Automatic,USED Dealer ad,"Underwood, QLD"
138,2010 Holden Cruze CDX,"$9,990","110,000 km",Automatic,USED Dealer ad,"Hamilton, QLD"
139,2011 Hyundai I30 CW SX 1.6 Crdi,"$10,990","152,116 km",Manual,USED Dealer ad,"Morayfield, QLD"
140,2005 Mazda 2 NEO,"$7,990","209,205 km",Automatic,USED Dealer ad,"Archerfield, QLD"
141,2012 Toyota FJ Cruiser ,"$44,990","136,000 km",Automatic,USED Dealer ad,"Underwood, QLD"
142,2007 Holden Rodeo DX,"$13,430","85,479 km",Manual,USED Dealer ad,"Bundaberg West, QLD"
143,2019 Mazda CX-5 Akera (4X4),"$44,886","29,072 km",Automatic,USED Dealer ad,"Ipswich, QLD"
144,2017 Ford Fiesta Trend,"$19,990","14,956 km",Automatic,USED Dealer ad,"North Lakes, QLD"
145,2011 Mitsubishi Pajero Exceed LWB (4X4),"$24,886","239,340 km",Automatic,USED Dealer ad,"Ipswich, QLD"
146,2019 LDV G10 ,"$35,960","17,837 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
147,2014 Mercedes-Benz S-Class S63 AMG SPEEDSHIFT MCT,"$159,888","79,749 km",Automatic,USED Dealer ad,"Southport, QLD"
148,2010 Hyundai IX35 Highlander (awd),"$15,990","179,278 km",Automatic,USED Dealer ad,"Noosaville, QLD"
149,2013 Jeep Patriot Limited (4X4),"$16,881","112,401 km",Automatic,USED Dealer ad,"Underwood, QLD"
150,2012 Mitsubishi Outlander LS (7 Seat),"$14,990","205,158 km",Automatic,USED Dealer ad,"Capalaba, QLD"
151,2010 Mazda 3 SP25,"$11,989","149,996 km",Automatic,USED Dealer ad,"Morayfield, QLD"
152,2009 Mazda 3 NEO,"$9,990","159,000 km",Manual,USED Dealer ad,"Clontarf, QLD"
153,2021 Hyundai Tucson Highlander (awd),"$57,500","3,835 km",Automatic,DEMO,"Scenic MotorsBeaudesert, QLD"
154,2008 Mazda 3 Maxx Sport,"$9,990","140,985 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
155,2013 Chrysler 300 C Luxury,"$19,460","201,964 km",Automatic,USED Dealer ad,"Woodridge, QLD"
156,2009 Mazda 3 NEO,"$9,990","161,000 km",Manual,USED Dealer ad,"Clontarf, QLD"
157,2015 Toyota Kluger GXL (4X4),"$36,990","116,060 km",Automatic,USED Dealer ad,"Toowoomba, QLD"
158,2021 MG ZS Excite,"$22,990","24,407 km",Automatic,USED Dealer ad,"Redcliffe, QLD"
159,2017 Mazda BT-50 XT (4X4),"$32,886","151,506 km",Manual,USED Dealer ad,"Ipswich, QLD"
160,2003 Nissan Patrol ST (4X4),"$23,888","251,425 km",Manual,USED Dealer ad,"Townsville City, QLD"
161,2014 Jeep Wrangler Unlimited Sport (4X4),"$39,490","58,239 km",Manual,USED Dealer ad,"Brisbane City, QLD"
162,2017 Land Rover Discovery Sport TD4 (110KW) SE 5 Seat,"$49,980","49,949 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
163,2005 Mitsubishi Triton GL,"$8,990","294,231 km",Manual,USED Dealer ad,"Morayfield, QLD"
164,2018 Mazda 6 Atenza,"$35,950","49,625 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
165,2010 Mazda 3 SP25,"$14,990","144,580 km",Automatic,USED Dealer ad,"Kedron, QLD"
166,2004 Jeep Cherokee Limited (4X4),"$10,999","178,751 km",Automatic,USED Dealer ad,"Banyo, QLD"
167,2008 Jeep Cherokee Limited (4X4),"$14,900","99,000 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
168,2004 Holden Commodore SS,"$19,900","137,000 km",Manual,USED Dealer ad,"Slacks Creek, QLD"
169,2018 Hyundai Santa FE Elite Crdi Satin (awd),"$51,990","29,332 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
170,2011 Holden Commodore SV6,"$24,990","145,271 km",Automatic,USED Dealer ad,"Underwood, QLD"
171,2008 Mazda CX-9 Luxury,"$11,990","303,000 km",Automatic,USED Dealer ad,"Sumner, QLD"
172,2019 Toyota Camry AXVH71R Ascent Hybrid 2.5L CVT Sedan,"$35,500","53,412 km",Automatic,USED Dealer ad,"Sunnybank Hills, QLD"
173,2007 Nissan Skyline GT350,"$15,999","120,012 km",Automatic,USED Dealer ad,"Banyo, QLD"
174,2018 Mazda 2 NEO,"$17,990","91,422 km",Automatic,USED Dealer ad,"North Lakes, QLD"
175,2010 Hyundai IX35 Active (fwd),"$11,990","209,389 km",Manual,USED Dealer ad,"Slacks Creek, QLD"
